What country do you live in currently?,What industry do you work in?,Other,"In the following list, what best describes the work you do?",Other,What level are you in your role?,How long have you worked remotely?,What percentage of the time do you work remotely?,Which of the following statements best describes you:,"Would you like to work remotely, at least some of the time, for the rest of your career?",Do you encourage others to work remotely? (This can be anyone in your life from coworkers to friends and family.),What’s your biggest struggle with working remotely?,Other,What’s the biggest benefit you see to working remotely?,Other,How much vacation did you take in the past year?,How much vacation time does your company offer each year?,What location do you primarily work from?,Other,What is the second most common location that you work from?,Other,"How often do you travel outside of your home city and work at the same time? (This includes work retreats, conferences, and any time you’re working in a different city.) ",Which description best suits you?,Did you always intend to support remote work?,What is your company's stance on remote work?,How many full-time employees does your company have?,What percentage of your company works remotely?,Does your company pay for your home internet?,Does your company cover the cost of a coworking membership?,Does your company cover the cost of drinks/food at coffee shops?,Are there any other costs of working remotely that your company covers?,"If you work from coffee shops, how much do you spend at coffee shops per week? (in USD)","If you work from coworking spaces, how much do you spend for yourself on coworking spaces per month? (in USD)",How much do you earn per year in USD? (We are not gathering your name or email address so this information will not be able to be used to identify you.),What has surprised you most about working remotely?,Anything else you want to add that we didn’t ask about?
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland {Republic},Medical and Healthcare,,Sales,,Senior level,More than 4 years,26 to 50%,I am happy with the amount of time I work remotely.,1,1,Collaborating and/or communication,,Ability to work from home,,5 weeks,4 weeks,Home,,Coffee shops and cafes,,Frequently (Between one and six months per year),Employee,,At my company we can work from home as needed,101 to 500,26 to 50%,No,No,No,,Between $5 and $10,Between $1 and $100,"$125,001 to $150,000",,
Russian Federation,Software,,Product,,Management level,Less than six months,1 to 25%,I would like to work remotely more often.,1,1,Distractions at home,,Ability to have a flexible schedule,,3 weeks,4 weeks,Home,,Coffee shops and cafes,,Infrequently (Less than a week per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"More than 1,001",1 to 25%,No,No,No,mobile internet,Between $20 and $30,Between $1 and $100,"$25,001 to $50,000",,
Greece,Medical and Healthcare,,Marketing and Advertising,,Senior level,More than 4 years,51 to 75%,I am happy with the amount of time I work remotely.,1,1,Taking vacation time,,Ability to have a flexible schedule,,3 weeks,6 weeks,Coworking spaces,,Home,,Frequently (Between one and six months per year),Freelancer / Self-employed,,,,,,,,,More than $30,More than $500,"Over $200,000",Meeting interesting people,About A)health insurance and B)team support in case of emergency
France,Software,,Engineering,,Senior level,1 year to 4 years,100%,I would like to work remotely less often.,1,1,Collaborating and/or communication,,Ability to spend time with family,,6 weeks,Unlimited,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,Between $1 and $5,Between $1 and $100,"$75,001 to $100,000",,
Ireland {Republic},Software,,Data,,Senior level,More than 4 years,100%,I would like to work remotely more often.,1,1,Taking vacation time,,Ability to spend time with family,,Less than 1 week,Unlimited,Home,,,Families housese,Infrequently (Less than a week per year),Business owner,1,I am a solo business or freelancer and work remotely,Just me,100%,Yes,Yes,No,no,Between $1 and $5,Between $1 and $100,"up to $25,000",You get more done,NO
Ireland {Republic},,BPO,Human Resources,,Management level,6 months to 11 months,1 to 25%,I would like to work remotely more often.,1,1,Finding reliable wifi,,The flexibility to work from any location,,5 weeks,5 weeks,Home,,Not applicable,,Sometimes (Between one week and one month per year),Employee,,At my company we can work from home as needed,101 to 500,1 to 25%,No,No,No,na,,,"$75,001 to $100,000",Flexibility,No
Malaysia,Software,,Marketing and Advertising,,Professional level,1 year to 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Being in a different timezone than teammates,,Ability to have a flexible schedule,,Less than 1 week,Unlimited,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,1 to 25%,No,No,No,None,More than $30,,"$25,001 to $50,000",,
Pakistan,Software,,Engineering,,Professional level,Less than six months,51 to 75%,I would like to work remotely more often.,1,1,Distractions at home,,Ability to have a flexible schedule,,1 week,5 weeks,Home,,Not applicable,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,11 to 50,100%,Yes,Yes,No,No,Between $1 and $5,Between $1 and $100,"$50,001 to $75,000",Flexibility,No
Ireland {Republic},Marketing,,Sales,,Professional level,Less than six months,26 to 50%,I am happy with the amount of time I work remotely.,1,1,Taking vacation time,,Ability to spend time with family,,3 weeks,4 weeks,Home,,Not applicable,,Infrequently (Less than a week per year),Employee,,At my company we can work remotely a certain number of days per week/month,Fewer than 10,26 to 50%,No,No,No,no,Between $1 and $5,Between $1 and $100,"$50,001 to $75,000",Less anxiety,"The saving of time, fuel cost and not being tired from the commute influences a healthy lifestyle and happier me. "
Netherlands,,consulting,,change management,Management level,1 year to 4 years,26 to 50%,I am happy with the amount of time I work remotely.,1,1,Being in a different timezone than teammates,,Ability to have a flexible schedule,,3 weeks,4 weeks,,work,Home,,Frequently (Between one and six months per year),Employee,,At my company we can work from home as needed,"More than 1,001",1 to 25%,No,No,No,no,,,"$75,001 to $100,000",more distractions and less distractions,
Ireland {Republic},E-commerce,,Customer Support,,Entry level,6 months to 11 months,100%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,Ability to work from home,,4 weeks,4 weeks,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"More than 1,001",51 to 75%,No,No,No,No,Between $20 and $30,Between $1 and $100,"$25,001 to $50,000", ,
Ireland {Republic},E-commerce,,Customer Support,,Executive level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,Ability to have a flexible schedule,,5 weeks,Unlimited,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"More than 1,001",26 to 50%,No,No,No,"House cleaning
Gym membership",Between $11 and $20,,"Over $200,000","Way more productive
Less prone to distraction 
More time conscious",No
South Africa,Software,,Engineering,,Executive level,1 year to 4 years,1 to 25%,I would like to work remotely more often.,1,1,Finding reliable wifi,,Ability to have a flexible schedule,,1 week,3 weeks,Coffee shops and cafes,,Home,,Never,Employee,,At my company we can work remotely a certain number of days per week/month,101 to 500,1 to 25%,No,No,No,,Between $5 and $10,Between $1 and $100,"$50,001 to $75,000",how easy it is,
India,Software,,Engineering,,Management level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,The flexibility to work from any location,,1 week,1 week,Home,,Not applicable,,Frequently (Between one and six months per year),Freelancer / Self-employed,,,,,,,,,Between $5 and $10,Between $1 and $100,"up to $25,000",,what are the perks and benefits of working remotely? What are the advantages of going to office daily?
United States,Education,,Leadership,,Executive level,More than 4 years,26 to 50%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Ability to work from home,,3 weeks,6 weeks,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,At my company we can work from home as needed,"501 to 1,000",26 to 50%,No,No,No,,,,"$75,001 to $100,000",My wife interupts me constantly,There are way tooant distractions at home
United States,Non-profit,,Operations,,Executive level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,Ability to have a flexible schedule,,2 weeks,Unlimited,Home,,Not applicable,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,,,"up to $25,000",,
United States,IT and Services,,Engineering,,Management level,1 year to 4 years,26 to 50%,I would like to work remotely more often.,1,1,Being in a different timezone than teammates,,,Better team and organization communication standards.,4 weeks,4 weeks,Home,,,Company HQ,Sometimes (Between one week and one month per year),Employee,,At my company we can work from home as needed,11 to 50,76 to 99%,No,Partially,No,Partial budget for home office setup.,,,"Over $200,000",It's forced the company to be really good about communication.,"The company I work doesn't fit in some of the options. We have a main office, however most people are full time remote. Folks who are local have the option of coming into the office or not."
Philippines,Marketing,,Marketing and Advertising,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,Ability to spend time with family,,2 weeks,None,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,Between $11 and $20,,"up to $25,000",That there are employers out there who value work-life balance as much as I do,
United States,Software,,Engineering,,Professional level,6 months to 11 months,26 to 50%,I would like to work remotely more often.,1,0,Distractions at home,,The flexibility to work from any location,,None,None,Home,,Libraries,,Infrequently (Less than a week per year),Freelancer / Self-employed,,,,,,,,,Between $5 and $10,Between $1 and $100,"up to $25,000",,
United States,Consumer products,,Design,,Professional level,More than 4 years,26 to 50%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,The flexibility to work from any location,,6 weeks,4 weeks,Home,,Coffee shops and cafes,,Frequently (Between one and six months per year),Employee,,At my company we can work from home as needed,"More than 1,001",1 to 25%,No,No,No,NO,Between $1 and $5,,"$100,000 to $125,000","How much I can get done, when I'm not being distracted - A LOT!",
Ireland {Republic},Software,,Leadership,,Senior level,1 year to 4 years,26 to 50%,I would like to work remotely more often.,1,0,Staying motivated,,Ability to spend time with family,,3 weeks,5 weeks,,An office,Home,,Infrequently (Less than a week per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,1 to 25%,No,No,No,Company laptop,,,"$75,001 to $100,000",Sometimes I  far more productive,We have a new CTO in my business unit who is idealogically opposed to those who don't work in the office with local teams. He just sacked s bunch of people who work remotely or work with remote teams (my situation) including myself.
United States,Non-profit,,Marketing and Advertising,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,The flexibility to work from any location,,Less than 1 week,Unlimited,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,Between $11 and $20,,"$50,001 to $75,000",That it makes me more extroverted when I’m with people,
United Kingdom,Software,,Product,,Senior level,Less than six months,51 to 75%,I am happy with the amount of time I work remotely.,1,1,Collaborating and/or communication,,The flexibility to work from any location,,2 weeks,Unlimited,Home,,Coworking spaces,,Almost all the time,Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,1 to 25%,No,No,No,trips to the office,Between $20 and $30,Between $101 and $200,"$50,001 to $75,000",,
Poland,IT and Services,,Design,,Professional level,Less than six months,1 to 25%,I would like to work remotely more often.,1,1,Collaborating and/or communication,,Ability to have a flexible schedule,,Less than 1 week,2 weeks,Home,,,"Traveling - finding on the spot or working on the move (airports stations, cafes, etc) ",Sometimes (Between one week and one month per year),Employee,,At my company we can work remotely a certain number of days per week/month,11 to 50,1 to 25%,No,No,No,None,Between $1 and $5,Between $1 and $100,"$25,001 to $50,000",Not counting work time - surprised how fast it passed,Question about salary didn't stated netto gross. Questions about spending in cafes etc didn't get alternatives for 0...
United States,Government,,Operations,,Management level,More than 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Taking vacation time,,Ability to have a flexible schedule,,4 weeks,More than 6 weeks,Home,,,national or regional office,Very frequently (More than six months of the year),Employee,,At my company we can work remotely a certain number of days per week/month,11 to 50,51 to 75%,No,No,No,no,Between $1 and $5,,"$125,001 to $150,000",That more people aren't supportive of it.,There is still a stigma attached to remote work that makes no sense.
United States,Medical and Healthcare,,Human Resources,,Executive level,More than 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Ability to spend time with family,,4 weeks,5 weeks,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Employee,,At my company we can work from home as needed,"More than 1,001",26 to 50%,No,No,No,,,Between $1 and $100,"Over $200,000","How productive I am without the office distractions.
",
United States,Education,,Leadership,,Executive level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Ability to have a flexible schedule,,3 weeks,None,Home,,,Hotels,Frequently (Between one and six months per year),Business owner,1,Everyone at my company works remotely,Fewer than 10,100%,No,No,No,No,,,"Over $200,000",How stressful most modern workplaces are.,
United States,Software,,Marketing and Advertising,,Management level,1 year to 4 years,1 to 25%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,Ability to have a flexible schedule,,3 weeks,5 weeks,Home,,,Office,Frequently (Between one and six months per year),Employee,,At my company we can work from home as needed,"More than 1,001",76 to 99%,No,No,No,,,,"$50,001 to $75,000",My ability to stay disciplined,
Canada,Marketing,,Human Resources,,Management level,1 year to 4 years,1 to 25%,I would like to work remotely more often.,1,1,Collaborating and/or communication,,Ability to have a flexible schedule,,3 weeks,3 weeks,Home,,Coffee shops and cafes,,Infrequently (Less than a week per year),Employee,,At my company we can work from home as needed,"501 to 1,000",1 to 25%,No,No,No,no,Between $11 and $20,Between $1 and $100,"$75,001 to $100,000",how easy it is,nope
Canada,Software,,Engineering,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Taking vacation time,,The flexibility to work from any location,,1 week,Unlimited,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,Fewer than 10,100%,Yes,No,No,"Mobile Phone
Dedicated Zoom Chat Room
Hardware Allowance",Between $20 and $30,,"$100,000 to $125,000","How little exercise I get working from home. If not careful, I can take 500 steps in a day.",
Germany,Media and Publishing,,Marketing and Advertising,,Professional level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Taking vacation time,,The flexibility to work from any location,,None,None,Home,,Not applicable,,Frequently (Between one and six months per year),Freelancer / Self-employed,,,,,,,,,Between $1 and $5,,"$100,000 to $125,000",How much I love it. I think everyone should work remotely.,Thanks for letting me take the survey!
United States,Software,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Being in a different timezone than teammates,,Ability to work from home,,4 weeks,None,Home,,Not applicable,,Infrequently (Less than a week per year),Freelancer / Self-employed,,,,,,,,,,,"$100,000 to $125,000",that I work more now (longer hours + less vacation),
Panama,IT and Services,,Leadership,,Executive level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,The flexibility to work from any location,,1 week,Unlimited,Home,,Coworking spaces,,Always,Employee,,Everyone at my company works remotely,"501 to 1,000",100%,No,No,No,Second monitor credit,Between $11 and $20,Between $1 and $100,"$150,001 to $200,000","
",
New Zealand,Marketing,,,"Multiple disciplines including content, tech and infrastructure",Professional level,More than 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,Ability to have a flexible schedule,,2 weeks,3 weeks,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,Between $11 and $20,Between $1 and $100,"$25,001 to $50,000",Going to an actual office with other people in it is not that productive. Working remotely has less distractions for me but I can see that some people might find the opposite.,You have asked why I work this way. Primarily it started as a fill in between jobs but found out it is much more efficient that regular workplaces. Also I needed to have a more flexible timetable to take care of my 2 year old. Now I am over qualified for most everything as I have 40 years of work experience and even if I apply for a job I don't get to the interview stage. People are frightened of experienced staff and from what I see business management is average at best so they also feel threatened. Tools and systems are getting better but now I can't see any real advantage to a regular office except maybe team building and even there there are better ways to do that too.
United States,IT and Services,,Design,,Senior level,More than 4 years,76 to 99%,I would like to work remotely more often.,1,1,,Finding remote opportunities in my field,The flexibility to work from any location,,4 weeks,Unlimited,Home,,Coffee shops and cafes,,Frequently (Between one and six months per year),Freelancer / Self-employed,,,,,,,,,Between $20 and $30,Between $1 and $100,"$50,001 to $75,000","How many companies are set against hiring remote employees. It’s offputting, and affects their brands and how I view them as leaders in their industries. The future is flexible.",No option to skip the coworking space expense question so this will skew your data points as we have to choose an expense even if we don’t use coworking spaces.
United States,Software,,Engineering,,Senior level,Less than six months,1 to 25%,I would like to work remotely more often.,1,1,Being in a different timezone than teammates,,Ability to spend time with family,,Less than 1 week,Unlimited,Home,,Not applicable,,Sometimes (Between one week and one month per year),Employee,,At my company we can work remotely a certain number of days per week/month,51 to 100,1 to 25%,No,No,No,,Between $1 and $5,Between $1 and $100,"$150,001 to $200,000",,
Czech Republic,Education,,Product,,Executive level,More than 4 years,26 to 50%,I would like to work remotely more often.,1,1,Distractions at home,,Ability to have a flexible schedule,,4 weeks,3 weeks,Coffee shops and cafes,,Coworking spaces,,Frequently (Between one and six months per year),Freelancer / Self-employed,,,,,,,,,Between $5 and $10,Between $101 and $200,"$25,001 to $50,000",The ability to finish tasks.,Remote working can also get lonely.
Portugal,Marketing,,Marketing and Advertising,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,,"I travel+work (nomad), so it's difficult to find a balance between work and leisure",The flexibility to work from any location,,4 weeks,None,,"Home while I'm in Portugal, cafes and coworking while travelling",Coffee shops and cafes,,Very frequently (More than six months of the year),Freelancer / Self-employed,,,,,,,,,More than $30,Between $101 and $200,"$25,001 to $50,000",That it's easier than it seems,
Italy,IT and Services,,Engineering,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Ability to have a flexible schedule,,3 weeks,2 weeks,Home,,Coffee shops and cafes,,Infrequently (Less than a week per year),Freelancer / Self-employed,,,,,,,,,Between $1 and $5,,"$25,001 to $50,000",I manage my time,
United States,Financial Services,,Finances,,Executive level,1 year to 4 years,51 to 75%,I would like to work remotely more often.,1,1,Unplugging after work,,Ability to have a flexible schedule,,2 weeks,Unlimited,Home,,Coffee shops and cafes,,Never,Employee,,At my company we can work from home as needed,Fewer than 10,100%,No,No,No,$100 per month for expenses,Between $11 and $20,,"$75,001 to $100,000",How much more productive I am with minimal distractions,
United States,,Bio-Technology,Human Resources,,Management level,More than 4 years,1 to 25%,I am happy with the amount of time I work remotely.,1,1,Staying motivated,,,Saving time and expense of commuting,3 weeks,Unlimited,Home,,Not applicable,,Infrequently (Less than a week per year),Employee,,At my company we can work from home as needed,"501 to 1,000",1 to 25%,No,No,No,,,,"$150,001 to $200,000",How much I miss seeing colleagues and partners.,
Canada,IT and Services,,Operations,,Management level,Less than six months,100%,I am happy with the amount of time I work remotely.,1,1,Collaborating and/or communication,,The flexibility to work from any location,,3 weeks,3 weeks,Coworking spaces,,Home,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,51 to 100,1 to 25%,No,Yes,No,Computer,,Between $301 and $400,"$75,001 to $100,000",Productivity,
Portugal,IT and Services,,Engineering,,Senior level,1 year to 4 years,76 to 99%,I would like to work remotely less often.,1,1,Staying motivated,,Ability to have a flexible schedule,,5 weeks,None,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,Between $1 and $5,Between $101 and $200,"$25,001 to $50,000",,
United States,,Admin,Operations,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,The flexibility to work from any location,,Less than 1 week,1 week,Home,,,Places I take my daughter to,Infrequently (Less than a week per year),Freelancer / Self-employed,,,,,,,,,,,"$50,001 to $75,000",The gravity of the loneliness,
United States,Software,,Human Resources,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Staying motivated,,The flexibility to work from any location,,3 weeks,3 weeks,Home,,Coffee shops and cafes,,Very frequently (More than six months of the year),Employee,,Everyone at my company works remotely,11 to 50,100%,No,Yes,Yes,"We have a home office allowance that helps cover costs of things like standing desks, laptop stands, etc--whatever you need basically",Between $11 and $20,Between $101 and $200,"$50,001 to $75,000",How other people still think I don't have a job!,
United States,Software,,Human Resources,,Management level,More than 4 years,1 to 25%,I would like to work remotely more often.,1,1,Distractions at home,,The flexibility to work from any location,,3 weeks,3 weeks,Home,,Not applicable,,Infrequently (Less than a week per year),Employee,,At my company we can work remotely a certain number of days per week/month,51 to 100,76 to 99%,No,No,No,No,,,"$75,001 to $100,000",How productive I am,
United States,Non-profit,,Leadership,,Executive level,More than 4 years,100%,I would like to work remotely less often.,1,1,Loneliness,,Ability to have a flexible schedule,,6 weeks,Unlimited,Coworking spaces,,Not applicable,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,26 to 50%,No,No,No,,Between $5 and $10,More than $500,"Over $200,000",,
United States,IT and Services,,Operations,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Taking vacation time,,Ability to have a flexible schedule,,3 weeks,3 weeks,Home,,Coffee shops and cafes,,Infrequently (Less than a week per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"More than 1,001",26 to 50%,No,No,No,"printing supplies, travel to office locations",Between $1 and $5,Between $1 and $100,"$50,001 to $75,000",Ability to have some balance in life,Technology is only good if it works!
United States,Software,,Engineering,,Senior level,Less than six months,100%,I am happy with the amount of time I work remotely.,1,1,Staying motivated,,The flexibility to work from any location,,4 weeks,Unlimited,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,Fewer than 10,1 to 25%,No,No,No,,More than $30,,"Over $200,000",,
Malta,Software,,Product,,Management level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Collaborating and/or communication,,Ability to spend time with family,,3 weeks,4 weeks,Home,,Not applicable,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,Between $1 and $5,Between $1 and $100,"$25,001 to $50,000",It does not feel that lonely than expected.,"I only work work part-time (hence the salary range), and this makes me able to work on my side-projects as well."
Serbia,Software,,Product,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,The flexibility to work from any location,,4 weeks,None,,My office (which is  studio apartment),Home,,Very frequently (More than six months of the year),Employee,,Everyone at my company works remotely,101 to 500,100%,No,No,No,They provide us with all devices we need for our work,Between $20 and $30,,"$50,001 to $75,000",How nice and easy it is to get to know teammates through digital channels,
United States,Education,,Data,,Management level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,,Not having a group whiteboard,Ability to work from home,,3 weeks,3 weeks,Home,,Not applicable,,Infrequently (Less than a week per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,51 to 100,51 to 75%,No,Yes,No,"workstation: desk, computer, monitor, etc.",,,"$100,000 to $125,000",How much less stressful it is than working in person,Working remotely levels the playing field for introverts in many ways
United States,Software,,Engineering,,Professional level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Being in a different timezone than teammates,,The flexibility to work from any location,,6 weeks,Unlimited,,Rented office,Home,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"501 to 1,000",51 to 75%,No,No,No,cell phone subsidy for people on-call,,,"$125,001 to $150,000",,I work in an area w/o much high-tech.  Remote work is the only way I can work in tech.
Belgium,IT and Services,,Operations,,Senior level,1 year to 4 years,1 to 25%,I would like to work remotely more often.,1,1,Taking vacation time,,Ability to have a flexible schedule,,3 weeks,4 weeks,,Office,Home,,Infrequently (Less than a week per year),Freelancer / Self-employed,,,,,,,,,Between $1 and $5,Between $1 and $100,"$25,001 to $50,000",How much i enjoy it,
United States,Education,,,All of the above!,Executive level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Taking vacation time,,Ability to spend time with family,,2 weeks,Unlimited,Home,,Coffee shops and cafes,,Infrequently (Less than a week per year),Business owner,1,I am a solo business or freelancer and work remotely,Just me,100%,No,No,No,No,Between $1 and $5,Between $1 and $100,"up to $25,000","How much better life is. This is funny, but I was surprised that my cat sits on the copier all day with me while I work.","I like the buffer essays, and the short-lived podcast."
Mexico,IT and Services,,Engineering,,Senior level,6 months to 11 months,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Finding reliable wifi,,Ability to have a flexible schedule,,1 week,None,Coffee shops and cafes,,Home,,Infrequently (Less than a week per year),Freelancer / Self-employed,,,,,,,,,Between $20 and $30,Between $1 and $100,"$50,001 to $75,000","How undervalued is in my country, friends and family assume that since you don't go to an office you are always free to do whatever they want you to do",Nope
Romania,Software,,Engineering,,Professional level,1 year to 4 years,1 to 25%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,The flexibility to work from any location,,3 weeks,3 weeks,Home,,Coworking spaces,,Infrequently (Less than a week per year),Employee,,At my company we can work from home as needed,11 to 50,26 to 50%,No,No,No,,,,"up to $25,000",That I'll really miss the company of prople,
United States,,Construction,Data,,Professional level,6 months to 11 months,1 to 25%,I would like to work remotely more often.,1,1,Staying motivated,,Ability to have a flexible schedule,,3 weeks,4 weeks,Coffee shops and cafes,,Home,,Infrequently (Less than a week per year),Employee,,At my company we can work from home as needed,101 to 500,1 to 25%,No,No,Partially,No,Between $1 and $5,Between $1 and $100,"$75,001 to $100,000",Peace of Mind,Would love to get my company aboard for more remote work for office staff.
United States,Software,,Human Resources,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Taking vacation time,,Ability to work from home,,3 weeks,4 weeks,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,11 to 50,76 to 99%,Yes,Yes,No,,,Between $201 and $300,"$100,000 to $125,000",,
United States,Education,,Leadership,,Management level,1 year to 4 years,51 to 75%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to have a flexible schedule,,1 week,2 weeks,,I have an office but I can work from wherever and I often do.,,My office,Frequently (Between one and six months per year),Employee,,At my company we can work from home as needed,"501 to 1,000",1 to 25%,No,No,No,"75% of my cell phone, tech to do my job anywhere",Between $1 and $5,Between $1 and $100,"$50,001 to $75,000",How easy it is to do my job from anywhere,My company or myself don't actually spend money at coffee shops or co-working spaces. There wasn't a $0 option so I marked the smallest.
India,Software,,Sales,,Management level,1 year to 4 years,26 to 50%,I would like to work remotely less often.,1,0,Staying motivated,,Ability to have a flexible schedule,,3 weeks,3 weeks,Home,,Not applicable,,Sometimes (Between one week and one month per year),Business owner,0,At my company we can work remotely a certain number of days per week/month,"More than 1,001",,Yes,No,No,no,Between $20 and $30,Between $101 and $200,"$125,001 to $150,000",Focus is high,Your survey is great
United States,E-commerce,,Marketing and Advertising,,Professional level,Less than six months,100%,I would like to work remotely less often.,1,1,Distractions at home,,Ability to have a flexible schedule,,2 weeks,Unlimited,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,11 to 50,100%,Partially,Partially,Partially,We receive a remote work stipend of $200 to cover whatever remote working expenses we choose. ($200 doesn't go very far.),Between $11 and $20,,"$50,001 to $75,000","That I actually enjoy it! I thought I would feel very lonely and isolated (which I do, occasionally). But it has given me the flexibility to work pretty much whenever I want, and I have so much time now to focus on my well-being. I cook all of my own meals, I have time to myself in the morning (I now wake up before the alarm goes off) to read or meditate (previously, I'd spend that time commuting), etc. ",
United States,Software,,Design,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Staying motivated,,Ability to work from home,,5 weeks,Unlimited,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,11 to 50,76 to 99%,Yes,Yes,No,"Portable hotspots
Desk, chair, lamp",,Between $201 and $300,"$125,001 to $150,000","Pro: The freedom of not needing to ""look busy""
Con: The larger ebbs and flows of productivity. Higher highs and lower lows than in an office.","Might be good to ask about personality type in general (introvert vs. extrovert) and, possibly, if you are alone all day at home or have family/roommates/etc. there too (I think that makes a difference)."
United States,Software,,Engineering,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,Ability to spend time with family,,2 weeks,2 weeks,Home,,Coffee shops and cafes,,Infrequently (Less than a week per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,1 to 25%,No,No,No,,Between $5 and $10,,"$50,001 to $75,000",How much happier I am,
United States,Marketing,,Marketing and Advertising,,Professional level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Ability to have a flexible schedule,,1 week,Unlimited,Home,,Coworking spaces,,Frequently (Between one and six months per year),Employee,,Everyone at my company works remotely,Fewer than 10,100%,Yes,No,Partially,Phone,Between $5 and $10,Between $1 and $100,"$50,001 to $75,000",Production level,
