Do you work remotely sometimes?,What country do you live in currently?,What industry do you work in?,Other,"In the following list, what best describes the work you do?",Other,What level are you in your role?,How long have you worked remotely?,What percentage of the time do you work remotely?,Which of the following statements best describes you:,"Would you like to work remotely, at least some of the time, for the rest of your career?",Would you recommend remote work to others?,What’s your biggest struggle with working remotely?,Other,What’s the biggest benefit you see to working remotely?,Other,How much vacation did you take in the past year?,How much vacation time does your company offer each year?,What location do you primarily work from?,Other,What is the second most common location that you work from?,Other,"How often do you travel outside of your home city and work at the same time? (This includes work retreats, conferences, and any time you’re working in a different city.) ",Which description best suits you?,Did you always intend to support remote work?,What is your company's stance on remote work?,How many full-time employees does your company have?,What percentage of your company works remotely?,Does your company pay for your home internet?,24. Does your company pay for your cell phone?,Does your company cover the cost of a coworking membership?,Does your company cover the cost of drinks/food at coffee shops?,Are there any other costs of working remotely that your company covers?,"If you work from coffee shops, how much do you spend at coffee shops per week? (in USD)","If you work from coworking spaces, how much do you spend for yourself on coworking spaces per month? (in USD)",How much do you earn per year in USD?,What has surprised you most about working remotely?,Anything else you want to add that we didn’t ask about?
1,Colombia,Software,,Engineering,,Senior level,More than 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Not having to commute,,3 weeks,3 weeks,Home,,Coffee shops,,Never,Employee,,Everyone at my company works remotely,Fewer than 10,100%,No,No,No,Yes,No,Between $5 and $10,Not applicable,"up to $25,000",.,No
1,Colombia,Software,,Engineering,,Senior level,1 year to 4 years,100%,I would like to work remotely less often.,1,1,Loneliness,,Ability to have a flexible schedule,,4 weeks,4 weeks,Home,,Coworking spaces,,Infrequently (Less than a week per year),Employee,,Everyone at my company works remotely,11 to 50,100%,No,No,No,No,no,Between $1 and $5,Not applicable,"$50,001 to $75,000",l,no
1,Colombia,E-commerce,,Marketing and Advertising,,Professional level,6 months to 11 months,51 to 75%,I would like to work remotely more often.,1,1,Loneliness,,Flexibility to work from any location,,Less than 1 week,1 week,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Employee,,At my company we can work remotely a certain number of days per week/month,11 to 50,26 to 50%,Yes,No,No,No,No,Between $5 and $10,Between $1 and $100,"up to $25,000",Loneliness,No
1,Colombia,Education,,Marketing and Advertising,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,Flexibility to work from any location,,4 weeks,Unlimited,Coworking spaces,,Home,,Frequently (Between one and six months per year),Employee,,Everyone at my company works remotely,11 to 50,100%,No,No,No,No,"Hardware, Flightsand lodging twice a year to go visit a coworker",Not applicable,Between $101 and $200,"$50,001 to $75,000",,"Benefits, the nationalities/geographic location of our remote team "
1,Colombia,Software,,Engineering,,Professional level,1 year to 4 years,100%,I would like to work remotely less often.,1,1,Loneliness,,Flexibility to work from any location,,2 weeks,2 weeks,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,Fewer than 10,100%,No,No,No,No,,Between $5 and $10,Between $1 and $100,"$50,001 to $75,000",Loneliness,
1,Colombia,Medical and Healthcare,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Taking vacation time,,Ability to have a flexible schedule,,1 week,3 weeks,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,26 to 50%,No,No,Yes,No,,Between $11 and $20,Between $201 and $300,"$50,001 to $75,000",,
1,Colombia,Software,,Product,,Management level,1 year to 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Staying motivated,,Flexibility to work from any location,,5 weeks,Unlimited,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,11 to 50,100%,No,No,Yes,No,"Laptop, external monitor, headset, other electronic equipment, and desk and chair",Not applicable,Not applicable,"$50,001 to $75,000",More time available but it is harder to disconnect,
1,Colombia,Software,,Engineering,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,,"A bit of option B, E and G",Flexibility to work from any location,,3 weeks,Unlimited,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,51 to 100,1 to 25%,No,No,No,No,No that I'm aware of,Not applicable,Not applicable,"$50,001 to $75,000",Flexibility,No
1,Colombia,Software,,Engineering,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,Flexibility to work from any location,,3 weeks,Unlimited,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,51 to 100,100%,No,No,Yes,No,,Between $1 and $5,Between $201 and $300,"$25,001 to $50,000",Freedom,
1,Colombia,Software,,Engineering,,Professional level,Less than six months,100%,I am happy with the amount of time I work remotely.,1,1,Difficulties with collaboration and communication,,Ability to spend time with family,,2 weeks,3 weeks,Home,,Home,,Never,Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,1 to 25%,No,No,No,No,No,Not applicable,Not applicable,"up to $25,000",No noisy partners,The Ergonomics of the workstation
1,Colombia,IT and Services,,Data,,Senior level,6 months to 11 months,26 to 50%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Not having to commute,,4 weeks,2 weeks,Home,,Company's office,,Frequently (Between one and six months per year),Employee,,At my company we can work remotely a certain number of days per week/month,"501 to 1,000",26 to 50%,No,No,No,No,,Not applicable,Not applicable,"$25,001 to $50,000",,
1,Congo {Democratic Rep},,Renewable energy and media,Finances,,Management level,Less than six months,26 to 50%,I would like to work remotely more often.,1,1,Finding reliable wifi,,Ability to have a flexible schedule,,More than 6 weeks,4 weeks,Company's office,,Home,,Never,Freelancer / Self-employed,,,,,,,,,,Not applicable,Not applicable,"$25,001 to $50,000",Nothing.,no
1,Costa Rica,Travel and Tourism,,Sales,,Professional level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Finding reliable wifi,,Ability to work from home,,4 weeks,2 weeks,Home,,Coffee shops,,Frequently (Between one and six months per year),Business owner,1,I am a solo business or freelancer and work remotely,Fewer than 10,100%,No,No,No,No,Nothing,More than $30,Between $1 and $100,"$50,001 to $75,000",,
1,Costa Rica,Media and Publishing,,Design,,Management level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,,Didn't have any problem working remotely,Ability to have a flexible schedule,,4 weeks,2 weeks,Home,,Company's office,,Frequently (Between one and six months per year),Freelancer / Self-employed,,,,,,,,,,More than $30,Not applicable,"up to $25,000",It is really good when you enjoy silence and have meditative practices.,This kind of work can reduce the carbon emission radically... It's really important to do it worldwide
1,Costa Rica,Software,,Engineering,,Senior level,1 year to 4 years,51 to 75%,I am happy with the amount of time I work remotely.,1,1,Difficulties with collaboration and communication,,Ability to spend time with family,,3 weeks,2 weeks,Coworking spaces,,Company's office,,Infrequently (Less than a week per year),Employee,,At my company we can work remotely a certain number of days per week/month,"501 to 1,000",51 to 75%,No,No,No,No,,Not applicable,Between $1 and $100,"$25,001 to $50,000",How my health and mood improved.,Normal schedule.
1,Costa Rica,Financial Services,,Data,,Senior level,Less than six months,76 to 99%,I would like to work remotely more often.,1,1,Distractions at home,,Flexibility to work from any location,,2 weeks,2 weeks,Home,,Company's office,,Frequently (Between one and six months per year),Freelancer / Self-employed,,,,,,,,,,Between $1 and $5,More than $500,"up to $25,000",,
1,Costa Rica,Software,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to have a flexible schedule,,2 weeks,Unlimited,Coworking spaces,,Coffee shops,,Frequently (Between one and six months per year),Employee,,Everyone at my company works remotely,"501 to 1,000",100%,No,No,Yes,Yes,,Between $11 and $20,Between $101 and $200,"$75,001 to $100,000",,
1,Costa Rica,IT and Services,,Engineering,,Senior level,More than 4 years,51 to 75%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,Ability to have a flexible schedule,,2 weeks,2 weeks,Home,,Company's office,,Infrequently (Less than a week per year),Employee,,At my company we can work remotely a certain number of days per week/month,51 to 100,76 to 99%,Partially,Partially,No,No,No,Not applicable,Not applicable,"$100,000 to $125,000",How easy and convenient it is,Nope
1,Croatia,Software,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to spend time with family,,4 weeks,Unlimited,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,26 to 50%,No,No,No,No,Travel expenses,Not applicable,Between $101 and $200,"$100,000 to $125,000",The extremes. How extremely effective I can be and how isolated it can feel.,"You should have asked about how we stay productive. I have routines or “rituals” I employ through the day. For example I measured (using rescuetime) that I am much more productive if i start the day with light exercise, so that is part of my morning routine."
1,Croatia,IT and Services,,Product,,Executive level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,,Organizing my schedule effectively to strike the balance between business and personal,,"The combination of C, D, and E together",More than 6 weeks,4 weeks,Home,,,When traveling,Sometimes (Between one week and one month per year),Business owner,1,I am a solo business or freelancer and work remotely,Just me,100%,No,Yes,Yes,No,\-,Not applicable,Not applicable,"$50,001 to $75,000","How people equate going to work with work, and they don't see working from home as work",
1,Croatia,Software,,Engineering,,Senior level,1 year to 4 years,100%,I would like to work remotely less often.,1,1,Staying motivated,,Ability to have a flexible schedule,,4 weeks,Unlimited,Home,,Coffee shops,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,,Between $5 and $10,Not applicable,"$25,001 to $50,000",,
1,Croatia,IT and Services,,Customer Support,,Management level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Being in a different timezone than teammates,,Not having to commute,,4 weeks,4 weeks,Home,,Coffee shops,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,51 to 100,100%,Yes,No,Yes,No,"Health benefits
Office equipment
Laptop",Not applicable,Not applicable,"$50,001 to $75,000","Most people can adapt to it, but it's not for everyone. ",
1,Croatia,Medical and Healthcare,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Taking vacation time,,Ability to spend time with family,,5 weeks,5 weeks,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,,Not applicable,Between $1 and $100,"$75,001 to $100,000",That I can take a nap after lunch and feel so refreshed afterwards :),
1,Croatia,Software,,Engineering,,Management level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to have a flexible schedule,,6 weeks,5 weeks,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,,Not applicable,Between $1 and $100,"$75,001 to $100,000",null,no
1,Croatia,IT and Services,,Engineering,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Being in a different timezone than teammates,,Flexibility to work from any location,,4 weeks,4 weeks,Home,,Home,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,,Not applicable,Not applicable,"up to $25,000",Peace,Remote is not for everyone but we could say the same for the office
1,Croatia,Software,,Engineering,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Taking vacation time,,Flexibility to work from any location,,None,None,Coworking spaces,,Home,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,"More than 1,001",100%,No,No,No,No,No,Not applicable,Between $301 and $400,"$100,000 to $125,000",Productivity increase,Nope
1,Croatia,Software,,Leadership,,Management level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Being in a different timezone than teammates,,Ability to have a flexible schedule,,3 weeks,4 weeks,Home,,Coffee shops,,Sometimes (Between one week and one month per year),Business owner,1,Everyone at my company works remotely,51 to 100,100%,Yes,Yes,Yes,Yes,,Between $5 and $10,,"$125,001 to $150,000",,
1,Cuba,Software,,Design,,Senior level,More than 4 years,26 to 50%,I would like to work remotely more often.,1,1,Taking vacation time,,Flexibility to work from any location,,2 weeks,4 weeks,Home,,Company's office,,Very frequently (More than six months of the year),Freelancer / Self-employed,,,,,,,,,,Not applicable,Not applicable,"up to $25,000",My family time.,I would like to achieve economic and labor independence
1,Cyprus,E-commerce,,Customer Support,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,Ability to spend time with family,,1 week,4 weeks,Home,,Coworking spaces,,Very frequently (More than six months of the year),Business owner,1,I am a solo business or freelancer and work remotely,Just me,100%,Yes,Yes,Yes,No,,Between $11 and $20,Between $201 and $300,"$50,001 to $75,000",,
1,Cyprus,Software,,Engineering,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Difficulties with collaboration and communication,,Flexibility to work from any location,,1 week,5 weeks,Coworking spaces,,Home,,Very frequently (More than six months of the year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,Fewer than 10,26 to 50%,No,No,No,No,Travel back to the office,Between $11 and $20,Between $101 and $200,"$50,001 to $75,000",The other people I've met who are also working remotely.,
1,Cyprus,Software,,Engineering,,Professional level,Less than six months,1 to 25%,I would like to work remotely more often.,1,1,Difficulties with collaboration and communication,,Flexibility to work from any location,,2 weeks,3 weeks,Company's office,,Coworking spaces,,Infrequently (Less than a week per year),Employee,,At my company we can work from home as needed,11 to 50,76 to 99%,No,No,No,No,No,Between $5 and $10,Not applicable,"up to $25,000",How much the company I work for trusts me :),Some questions could be interpreted differently so I'm not sure I always answered correctly
1,Cyprus,Software,,Engineering,,Professional level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Flexibility to work from any location,,3 weeks,3 weeks,Home,,Home,,Infrequently (Less than a week per year),Freelancer / Self-employed,,,,,,,,,,Not applicable,Not applicable,"$75,001 to $100,000",Nothing really,Nope
1,Czech Republic,Software,,Human Resources,,Professional level,Less than six months,1 to 25%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Not having to commute,,Less than 1 week,5 weeks,Company's office,,Home,,Sometimes (Between one week and one month per year),Employee,,At my company we can work from home as needed,101 to 500,51 to 75%,No,Yes,No,Partially,"flight tickets to our offices, accommodation when necessary, some other expenses",Not applicable,Not applicable,"up to $25,000",I can't say,No :)
1,Czech Republic,Software,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Difficulties with collaboration and communication,,Flexibility to work from any location,,None,6 weeks,Home,,Coffee shops,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"501 to 1,000",76 to 99%,No,No,Partially,No,"Yes, office chairs, keyboards and other gear",Between $5 and $10,Not applicable,"$50,001 to $75,000",How many talented people there are around the world!,"Yes, what about ergonomics? Does anyone have standing desks? chairs? etc"
1,Czech Republic,Government,,Data,,Management level,1 year to 4 years,1 to 25%,I am happy with the amount of time I work remotely.,1,1,Taking vacation time,,,No distractions,3 weeks,5 weeks,Home,,Company's office,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"More than 1,001",1 to 25%,No,Yes,No,No,none,Between $5 and $10,Not applicable,"$50,001 to $75,000",none,none
1,Czech Republic,IT and Services,,Customer Support,,Professional level,More than 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,Ability to spend time with family,,5 weeks,3 weeks,Home,,Coffee shops,,Frequently (Between one and six months per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,51 to 75%,No,No,Yes,No,Sports and books,Between $20 and $30,Between $101 and $200,"$75,001 to $100,000","How productive I can be, how lonely I can feel and how flexible I can get with the schedule. The best is probably how I can spend my time with our son!",
1,Czech Republic,Software,,Engineering,,Senior level,More than 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Taking vacation time,,Not having to commute,,3 weeks,5 weeks,Home,,Company's office,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,,Between $11 and $20,Not applicable,"$75,001 to $100,000",that I'm twice as effective,nope
1,Czech Republic,Software,,Engineering,,Senior level,Less than six months,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,,Focus and productivity,5 weeks,5 weeks,Home,,Company's office,,Frequently (Between one and six months per year),Freelancer / Self-employed,,,,,,,,,,Between $5 and $10,Not applicable,"$50,001 to $75,000",/,/
1,Czech Republic,IT and Services,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to have a flexible schedule,,5 weeks,4 weeks,,Private office,Home,,Frequently (Between one and six months per year),Employee,,Everyone at my company works remotely,101 to 500,100%,No,No,Partially,No,We get a one off office budget,More than $30,Between $401 and $500,"$150,001 to $200,000",That I can run personal errands outside of rush hours,
1,Czech Republic,Media and Publishing,,Marketing and Advertising,,Professional level,More than 4 years,26 to 50%,I am happy with the amount of time I work remotely.,1,1,Finding reliable wifi,,Flexibility to work from any location,,None,None,Home,,Company's office,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,,Not applicable,Not applicable,"$25,001 to $50,000",nothing :),no
1,Czech Republic,IT and Services,,Engineering,,Senior level,1 year to 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Not having to commute,,4 weeks,4 weeks,Home,,Company's office,,Sometimes (Between one week and one month per year),Employee,,At my company we can work from home as needed,101 to 500,26 to 50%,No,No,No,No,no,Between $1 and $5,Not applicable,"$50,001 to $75,000",no social interactions,
1,Czech Republic,Software,,Sales,,Professional level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Staying motivated,,Ability to spend time with family,,4 weeks,4 weeks,Home,,Coffee shops,,Frequently (Between one and six months per year),Freelancer / Self-employed,,,,,,,,,,Between $11 and $20,Not applicable,"$125,001 to $150,000",,
1,Czech Republic,Software,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to have a flexible schedule,,5 weeks,Unlimited,Home,,Coffee shops,,Very frequently (More than six months of the year),Employee,,Everyone at my company works remotely,"501 to 1,000",100%,No,No,No,No,,More than $30,Between $101 and $200,"$50,001 to $75,000",,
1,Czech Republic,Software,,Engineering,,Professional level,More than 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Flexibility to work from any location,,5 weeks,5 weeks,Home,,Coworking spaces,,Infrequently (Less than a week per year),Employee,,At my company we can work from home as needed,101 to 500,26 to 50%,No,Yes,No,No,,Between $20 and $30,Between $101 and $200,"$25,001 to $50,000",,Question about number of kids at home would be interesting.
1,Czech Republic,IT and Services,,Engineering,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,Ability to have a flexible schedule,,4 weeks,None,Coworking spaces,,Home,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,,Between $20 and $30,Between $201 and $300,"$50,001 to $75,000",That I’m able to be as productive as in office,No
1,Denmark,Software,,Engineering,,Professional level,6 months to 11 months,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Flexibility to work from any location,,3 weeks,5 weeks,Coworking spaces,,Home,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,1 to 25%,No,No,Yes,No,"Hardware (screen, chair, mic, camera etc.)",Not applicable,Between $201 and $300,"$75,001 to $100,000",,
1,Denmark,Software,,Engineering,,Management level,1 year to 4 years,1 to 25%,I would like to work remotely more often.,1,1,Being in a different timezone than teammates,,Flexibility to work from any location,,5 weeks,5 weeks,Company's office,,Home,,Frequently (Between one and six months per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,1 to 25%,No,No,Yes,No,,Between $11 and $20,Between $1 and $100,"$75,001 to $100,000",How productive you can get without all the office interruptions,The best thing for me is striking a good balance between enough remote work and enough office work
1,Denmark,Consumer products,,Sales,,Professional level,1 year to 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Difficulties with collaboration and communication,,Flexibility to work from any location,,3 weeks,None,Coworking spaces,,Home,,Frequently (Between one and six months per year),Freelancer / Self-employed,,,,,,,,,,Between $11 and $20,Between $1 and $100,"$50,001 to $75,000","I want to join a team and have access to a central office. Also, we’ve rebuilt a house in a tiny village outside of the city and that is an amazing place to work.",Working from rural offers opportunity to be in nature and get lots done without urban distraction
1,Denmark,Marketing,,Marketing and Advertising,,Executive level,1 year to 4 years,26 to 50%,I am happy with the amount of time I work remotely.,1,1,,None,Flexibility to work from any location,,5 weeks,Unlimited,Coworking spaces,,Home,,Sometimes (Between one week and one month per year),Business owner,1,Everyone at my company works remotely,Fewer than 10,100%,No,No,Yes,No,Not that I can think of,More than $30,Between $101 and $200,"up to $25,000",How amazing these new spaces are becoming for both work and hangout,No
1,Dominican Republic,Software,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Taking vacation time,,Not having to commute,,2 weeks,2 weeks,Home,,Home,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,26 to 50%,No,No,No,No,Electricty bill,Not applicable,Not applicable,"$25,001 to $50,000",Relaxation,im a sub contractor for a recruitment agency
1,Dominican Republic,IT and Services,,Engineering,,Professional level,Less than six months,100%,I would like to work remotely less often.,1,1,Not being able to unplug,,Flexibility to work from any location,,Less than 1 week,4 weeks,Home,,Not applicable,,Infrequently (Less than a week per year),Employee,,Everyone at my company works remotely,101 to 500,100%,No,No,No,No,Conferences,Not applicable,Between $1 and $100,"up to $25,000",Type of cultures between coweerkers,No
1,Dominican Republic,Software,,Engineering,,Senior level,1 year to 4 years,51 to 75%,I would like to work remotely more often.,1,1,,i don't have,Not having to commute,,3 weeks,3 weeks,Home,,Home,,Never,Employee,,At my company we can work remotely a certain number of days per week/month,101 to 500,26 to 50%,No,No,No,No,nope,Not applicable,Not applicable,"up to $25,000",Internet interruptions are unpredictable,working remotely rocks
1,Dominican Republic,Software,,Engineering,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,Flexibility to work from any location,,2 weeks,None,Home,,Coffee shops,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,11 to 50,100%,No,No,No,No,,Between $11 and $20,Not applicable,"$25,001 to $50,000",The importance of work benefits,
1,Ecuador,Software,,Engineering,,Management level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Taking vacation time,,Ability to have a flexible schedule,,1 week,2 weeks,Home,,,Customers offices,Sometimes (Between one week and one month per year),Business owner,1,At my company we can work from home as needed,Fewer than 10,100%,Partially,Partially,Partially,Yes,Transportation,Not applicable,Not applicable,"$25,001 to $50,000",The amount of activities I can execute without the need to commute,Now that I tried remote work I can't hardly think of a reason to return to an office
1,Ecuador,Financial Services,,Engineering,,Senior level,1 year to 4 years,100%,I would like to work remotely more often.,1,1,Loneliness,,Flexibility to work from any location,,3 weeks,None,Home,,Coffee shops,,Frequently (Between one and six months per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,Fewer than 10,1 to 25%,No,No,No,No,no,Between $11 and $20,Not applicable,"$100,000 to $125,000",you can work with cooler awesome people than onsite,Remote work still has country/residence permit hiring issues
1,Ecuador,,Architecture,Design,,Professional level,6 months to 11 months,51 to 75%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Flexibility to work from any location,,4 weeks,Unlimited,Home,,Coffee shops,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,,Between $5 and $10,Not applicable,"up to $25,000",How easy is to loose focus and do multiple things at the same time,Nope
1,Ecuador,IT and Services,,Product,,Management level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,Ability to have a flexible schedule,,2 weeks,4 weeks,Home,,,travel,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,76 to 99%,No,No,No,No,travel to attend company outings,Between $1 and $5,Not applicable,"$100,000 to $125,000",that I can build such close relationships with my co-workers that I never see face to face,no
1,Egypt,Software,,Engineering,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Not having to commute,,1 week,2 weeks,Home,,Not applicable,,Never,Employee,,Everyone at my company works remotely,Fewer than 10,100%,No,No,No,No,No,Not applicable,Not applicable,"$25,001 to $50,000",Work hours end up being more than non-remote work,
1,Egypt,Travel and Tourism,,Leadership,,Management level,1 year to 4 years,76 to 99%,I would like to work remotely less often.,1,1,Difficulties with collaboration and communication,,Flexibility to work from any location,,More than 6 weeks,Unlimited,Home,,Not applicable,,Frequently (Between one and six months per year),Business owner,1,Part of the team is full-time remote and part of the team works out of the same office.,Fewer than 10,76 to 99%,No,No,No,No,no,Not applicable,Not applicable,"$50,001 to $75,000",the communication problems,no
1,Egypt,Software,,Engineering,,Professional level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Ability to spend time with family,,3 weeks,3 weeks,Home,,Not applicable,,Never,Freelancer / Self-employed,,,,,,,,,,Between $5 and $10,Not applicable,"$25,001 to $50,000",,
1,Egypt,Software,,,Programmer,Professional level,1 year to 4 years,100%,I would like to work remotely more often.,1,1,Loneliness,,Flexibility to work from any location,,2 weeks,3 weeks,Company's office,,Coffee shops,,Infrequently (Less than a week per year),Employee,,Everyone at my company works remotely,Fewer than 10,100%,Yes,No,Yes,No,No,Between $5 and $10,Between $1 and $100,"up to $25,000",Flexibility,No
1,El Salvador,Marketing,,Marketing and Advertising,,Entry level,Less than six months,1 to 25%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,Ability to work from home,,None,None,Home,,Not applicable,,Never,Business owner,1,I am a solo business or freelancer and work remotely,Just me,1 to 25%,No,No,No,No,No,Between $1 and $5,Between $1 and $100,"up to $25,000",No,No
1,El Salvador,Marketing,,Marketing and Advertising,,Entry level,Less than six months,1 to 25%,I am happy with the amount of time I work remotely.,1,1,Difficulties with collaboration and communication,,Ability to spend time with family,,None,None,Home,,Coffee shops,,Never,Freelancer / Self-employed,,,,,,,,,,Between $5 and $10,Not applicable,"up to $25,000",Work Outlook mi country,Give more oportunity for Work...that is a better World
1,El Salvador,IT and Services,,Human Resources,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Not having to commute,,Less than 1 week,2 weeks,Home,,Coffee shops,,Frequently (Between one and six months per year),Employee,,Everyone at my company works remotely,"More than 1,001",100%,No,No,No,No,no,Between $1 and $5,Between $1 and $100,"$100,000 to $125,000",how lonely it is,mental health is an issue
1,Estonia,IT and Services,,Human Resources,,Professional level,Less than six months,1 to 25%,I would like to work remotely more often.,1,1,Difficulties with collaboration and communication,,Ability to have a flexible schedule,,2 weeks,4 weeks,Company's office,,Home,,Never,Employee,,At my company we can work from home as needed,51 to 100,26 to 50%,No,Partially,No,No,Work-related transport (Bolt/Uber),Not applicable,Not applicable,"up to $25,000","Depending on work tasks and level of communication, there are always challenges on that very same day when working from home, so sometimes easier to just stay at the office. Normal workday end on time when working at home, while I could sit and work at the office for 12+ hrs.","For a modern firm, a possibility to work remotely when your work tasks allow that should be a basic right for employees.  Especially when you have a task that requires full concentration and you work in an open office environment. I often find I manage to be more productive due to the change of location."
1,Estonia,Marketing,,Customer Support,,Management level,6 months to 11 months,76 to 99%,I would like to work remotely more often.,1,1,Not being able to unplug,,Flexibility to work from any location,,3 weeks,3 weeks,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,,Between $1 and $5,Between $1 and $100,"$25,001 to $50,000",how few communication problems occurred,nope
